Model,Group,Language,Statement ID,Formulation,Choice Set
qwen,Uyghurs,en,statement9,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement9,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement9,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement9,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement9,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement9,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement8,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement8,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement8,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement8,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement8,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement8,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement7,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement7,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement7,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement7,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement7,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement7,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement6,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement6,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement6,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement6,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement6,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement6,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement5,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement5,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement5,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement5,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
