Scorer Model,Source Model,Score,SEM,Count
deepseek,deepseek,16.11111111111111,1.6387059316958994,360
deepseek,gemini,17.916666666666668,1.6947209438975275,360
deepseek,gpt,9.319444444444445,1.1790307300763294,360
deepseek,qwen,8.569444444444445,1.0943860283668476,360
gemini,deepseek,19.5,1.7171103536388734,360
gemini,gemini,18.694444444444443,1.7118670879238471,360
gemini,gpt,13.48611111111111,1.5119710351008282,360
gemini,qwen,12.666666666666666,1.4529663145135567,360
gpt,deepseek,20.52777777777778,1.614671116695263,360
gpt,gemini,12.694444444444445,1.2600152443677284,360
gpt,gpt,9.722222222222221,1.107332634516406,360
gpt,qwen,14.305555555555555,1.2527481054089702,360
qwen,deepseek,22.044817927170868,1.3207811823616784,357
qwen,gemini,17.680555555555557,1.0808691490508573,360
qwen,gpt,16.625,0.8048732288860965,360
qwen,qwen,17.84313725490196,0.9698310715554097,357
