Model,Group,Language,Statement ID,Formulation,Choice Set
gpt,Uyghurs,en,statement6,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
gpt,Uyghurs,en,statement2,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
gpt,Uiguren,de,statement9,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Uiguren,de,statement8,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Uiguren,de,statement8,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,statement7,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,statement5,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,statement3,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,statement2,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,statement2,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Uiguren,de,statement12,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Uiguren,de,statement11,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,statement10,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Tibeter,de,statement8,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Tibeter,de,statement8,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Tibeter,de,statement7,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Tibeter,de,statement6,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Tibeter,de,statement5,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Tibeter,de,statement12,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Tibeter,de,statement11,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Tibeter,de,statement11,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Tibeter,de,statement10,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Rohingya,en,statement2,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
gpt,Rohingya,de,statement9,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Rohingya,de,statement5,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Rohingya,de,statement2,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Rohingya,de,statement12,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Rohingya,de,statement11,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Rohingya,de,statement11,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Palästinenser,de,statement9,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Palästinenser,de,statement3,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Palästinenser,de,statement2,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Palästinenser,de,statement12,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Palästinenser,de,statement11,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Kurds,en,statement9,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
gpt,Kurds,en,statement8,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
gpt,Kurden,de,statement6,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Kurden,de,statement4,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Kurden,de,statement2,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Kurden,de,statement11,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Katalanen,de,statement7,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,statement5,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,statement3,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Katalanen,de,statement2,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,statement2,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,statement12,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,statement11,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
