Scorer Model,Source Model,Group,Language,Question ID,Choice Set,Model Response,Score,Alternative Scoring
gpt,gpt,Kurden,de,Q01,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Kurden,de,Q02,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Kurden,de,Q03,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Kurden,de,Q04,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Kurden,de,Q05,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Kurden,de,Q06,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Kurden,de,Q07,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Kurden,de,Q08,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Kurden,de,Q09,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Kurden,de,Q10,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Palästinenser,de,Q01,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Palästinenser,de,Q02,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Palästinenser,de,Q03,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Palästinenser,de,Q04,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Palästinenser,de,Q05,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Palästinenser,de,Q06,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Palästinenser,de,Q07,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Palästinenser,de,Q08,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Palästinenser,de,Q09,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Palästinenser,de,Q10,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Uiguren,de,Q01,"(A,B,C,D) (de)",B,75.0,3.0
gpt,gpt,Uiguren,de,Q02,"(A,B,C,D) (de)",B,75.0,3.0
gpt,gpt,Uiguren,de,Q03,"(A,B,C,D) (de)",C,25.0,2.0
gpt,gpt,Uiguren,de,Q04,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Uiguren,de,Q05,"(A,B,C,D) (de)",B,75.0,3.0
gpt,gpt,Uiguren,de,Q06,"(A,B,C,D) (de)",B,75.0,3.0
gpt,gpt,Uiguren,de,Q07,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Uiguren,de,Q08,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Uiguren,de,Q09,"(A,B,C,D) (de)",A,100.0,4.0
gpt,gpt,Uiguren,de,Q10,"(A,B,C,D) (de)",B,75.0,3.0
gpt,gpt,Katalanen,de,Q01,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Katalanen,de,Q02,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Katalanen,de,Q03,"(A,B,C,D) (de)",C,25.0,2.0
gpt,gpt,Katalanen,de,Q04,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Katalanen,de,Q05,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Katalanen,de,Q06,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Katalanen,de,Q07,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Katalanen,de,Q08,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Katalanen,de,Q09,"(A,B,C,D) (de)",A,100.0,4.0
gpt,gpt,Katalanen,de,Q10,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Tibeter,de,Q01,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Tibeter,de,Q02,"(A,B,C,D) (de)",C,25.0,2.0
gpt,gpt,Tibeter,de,Q03,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Tibeter,de,Q04,"(A,B,C,D) (de)",B,75.0,3.0
gpt,gpt,Tibeter,de,Q05,"(A,B,C,D) (de)",C,25.0,2.0
gpt,gpt,Tibeter,de,Q06,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Tibeter,de,Q07,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Tibeter,de,Q08,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Tibeter,de,Q09,"(A,B,C,D) (de)",A,100.0,4.0
gpt,gpt,Tibeter,de,Q10,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Rohingya (de),de,Q01,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Rohingya (de),de,Q02,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Rohingya (de),de,Q03,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Rohingya (de),de,Q04,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Rohingya (de),de,Q05,"(A,B,C,D) (de)",A,100.0,4.0
gpt,gpt,Rohingya (de),de,Q06,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Rohingya (de),de,Q07,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Rohingya (de),de,Q08,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Rohingya (de),de,Q09,"(A,B,C,D) (de)",A,100.0,4.0
gpt,gpt,Rohingya (de),de,Q10,"(A,B,C,D) (de)",D,0.0,0.0
gpt,gpt,Kurden,de,Q01,"(5,4,3,2,1) (de)",3,25.0,2.0
gpt,gpt,Kurden,de,Q02,"(5,4,3,2,1) (de)",3,25.0,2.0
gpt,gpt,Kurden,de,Q03,"(5,4,3,2,1) (de)",2,10.0,1.0
gpt,gpt,Kurden,de,Q04,"(5,4,3,2,1) (de)",2,10.0,1.0
gpt,gpt,Kurden,de,Q05,"(5,4,3,2,1) (de)",3,25.0,2.0
gpt,gpt,Kurden,de,Q06,"(5,4,3,2,1) (de)",1,0.0,0.0
gpt,gpt,Kurden,de,Q07,"(5,4,3,2,1) (de)",2,10.0,1.0
gpt,gpt,Kurden,de,Q08,"(5,4,3,2,1) (de)",1,0.0,0.0
gpt,gpt,Kurden,de,Q09,"(5,4,3,2,1) (de)",1,0.0,0.0
gpt,gpt,Kurden,de,Q10,"(5,4,3,2,1) (de)",1,0.0,0.0
gpt,gpt,Palästinenser,de,Q01,"(5,4,3,2,1) (de)",2,10.0,1.0
gpt,gpt,Palästinenser,de,Q02,"(5,4,3,2,1) (de)",3,25.0,2.0
gpt,gpt,Palästinenser,de,Q03,"(5,4,3,2,1) (de)",2,10.0,1.0
gpt,gpt,Palästinenser,de,Q04,"(5,4,3,2,1) (de)",3,25.0,2.0
gpt,gpt,Palästinenser,de,Q05,"(5,4,3,2,1) (de)",2,10.0,1.0
gpt,gpt,Palästinenser,de,Q06,"(5,4,3,2,1) (de)",1,0.0,0.0
gpt,gpt,Palästinenser,de,Q07,"(5,4,3,2,1) (de)",3,25.0,2.0
gpt,gpt,Palästinenser,de,Q08,"(5,4,3,2,1) (de)",1,0.0,0.0
